PRISM Time Series Data
Location:  Lat: 41.6397   Lon: -81.2763   Elev: 1142ft
"Climate variables: ppt,tmean"
Spatial resolution: 800m
Period: 1993-07 - 2023-06
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2025-Nov-18
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmean (degrees F)
1993-07,2.96,72.5
1993-08,1.84,69.7
1993-09,6.16,59.8
1993-10,3.47,49.5
1993-11,4.89,39.9
1993-12,3.50,29.1
1994-01,3.50,15.6
1994-02,1.35,21.6
1994-03,2.11,32.7
1994-04,4.35,48.9
1994-05,1.69,53.0
1994-06,5.72,68.1
1994-07,3.03,71.3
1994-08,6.39,66.6
1994-09,1.96,61.3
1994-10,2.31,51.7
1994-11,3.61,45.0
1994-12,3.00,34.8
1995-01,5.59,28.0
1995-02,1.93,22.6
1995-03,1.95,37.2
1995-04,4.26,43.6
1995-05,3.66,56.5
1995-06,1.71,68.5
1995-07,4.75,72.0
1995-08,2.55,73.2
1995-09,1.65,60.3
1995-10,5.21,54.4
1995-11,5.15,35.3
1995-12,3.91,25.3
1996-01,3.62,22.7
1996-02,2.22,24.8
1996-03,3.68,30.2
1996-04,6.96,45.1
1996-05,4.12,55.2
1996-06,5.24,67.6
1996-07,4.76,68.4
1996-08,3.93,68.5
1996-09,9.81,61.8
1996-10,5.09,52.3
1996-11,7.77,34.4
1996-12,4.08,33.3
1997-01,2.11,22.6
1997-02,3.54,30.9
1997-03,4.33,36.5
1997-04,2.50,42.7
1997-05,5.40,51.0
1997-06,6.34,66.1
1997-07,0.79,69.2
1997-08,4.56,65.3
1997-09,2.79,61.1
1997-10,3.01,51.6
1997-11,3.45,37.9
1997-12,3.38,32.2
1998-01,4.83,33.0
1998-02,1.50,36.1
1998-03,3.00,38.6
1998-04,6.76,47.9
1998-05,1.12,62.6
1998-06,4.10,66.1
1998-07,2.96,69.9
1998-08,3.77,70.0
1998-09,1.15,65.3
1998-10,2.50,52.9
1998-11,2.72,42.6
1998-12,1.94,36.3
1999-01,4.27,24.1
1999-02,1.80,31.4
1999-03,2.12,32.4
1999-04,4.61,48.7
1999-05,2.51,59.4
1999-06,3.19,67.3
1999-07,5.02,74.2
1999-08,3.11,67.3
1999-09,6.48,63.2
1999-10,4.40,51.2
1999-11,4.21,44.5
1999-12,2.90,31.6
2000-01,2.39,25.3
2000-02,1.78,31.2
2000-03,2.33,42.1
2000-04,4.96,45.8
2000-05,5.71,59.7
2000-06,5.43,68.0
2000-07,2.69,67.6
2000-08,5.01,66.9
2000-09,2.55,62.1
2000-10,3.49,54.0
2000-11,3.59,39.2
2000-12,3.61,21.9
2001-01,1.70,26.6
2001-02,2.14,30.6
2001-03,2.45,32.2
2001-04,2.28,49.4
2001-05,3.30,59.4
2001-06,2.69,66.5
2001-07,1.74,70.5
2001-08,2.61,70.8
2001-09,4.79,61.0
2001-10,5.87,52.9
2001-11,2.76,47.7
2001-12,6.22,36.8
2002-01,2.02,32.1
2002-02,3.17,32.4
2002-03,3.37,36.8
2002-04,4.60,49.1
2002-05,5.08,53.3
2002-06,2.45,68.6
2002-07,3.26,72.8
2002-08,1.30,71.6
2002-09,3.98,66.8
2002-10,2.33,50.4
2002-11,4.89,39.9
2002-12,3.34,29.3
2003-01,2.30,19.2
2003-02,1.79,22.4
2003-03,3.13,36.8
2003-04,2.67,47.0
2003-05,8.24,56.4
2003-06,5.16,64.1
2003-07,5.58,69.6
2003-08,4.38,70.4
2003-09,9.33,61.7
2003-10,3.57,49.0
2003-11,4.20,45.8
2003-12,3.49,30.8
2004-01,3.37,18.8
2004-02,0.73,25.8
2004-03,3.72,38.6
2004-04,3.97,46.8
2004-05,6.39,61.3
2004-06,2.99,65.1
2004-07,4.81,69.8
2004-08,2.62,66.7
2004-09,4.09,64.9
2004-10,2.17,52.6
2004-11,3.25,42.9
2004-12,6.38,29.0
2005-01,6.56,25.0
2005-02,2.40,27.8
2005-03,1.69,29.9
2005-04,5.92,47.6
2005-05,3.25,53.4
2005-06,2.86,71.6
2005-07,6.20,73.3
2005-08,4.83,71.4
